"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Aerobic Bike","Bike","","1","","2023-02-07","","30641.099609375","166","283","601.367","","1.00305557250977","8.48499965667725","","78","","123","136","","","0.654493348263627","42.65","1","59","0","0","0","","","","","","57","2","1","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-07","","2600","","","","","0.866276112132602","0.82855321861058","","21","","121","143","","","0.848070062384085","52.84","46","0","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-02-08","","5501.85009765625","264","379","567.446","","0.597336947917938","2.55900001525879","","168","","142","155","","","0.669201653392797","26.43","24","10","1","0","0","","","","","","28","0","0","0","0","","","","","","",""
"","Run","","0.5","","2023-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-09","","2600","","","","","0.845771669281854","0.848010437051533","","21","","121","146","","","0.868630226266555","55.43","41","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Threshold","Bike","","1.33333333333333","","2023-02-10","","39946.44921875","164","306","795.279","","1.34277856349945","8.26299953460693","","79","","119","139","","","0.648311861826515","55.99","1","79","0","0","0","","","","","","76","3","1","0","0","","","","","","",""
"","Run","","0.5","","2023-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike Aerobic Speed","Bike","","2.75","","2023-02-11","","77318.4296875","159","320","1700.237","","2.96386194229126","7.24599981307983","","75","","131","160","","","0.670597355379968","123.84","5","100","73","0","0","","","","","","142","29","3","2","2","","","","","","",""
"Aerobic Bike","Bike","","2.33333333333333","","2023-02-12","","65072.3203125","162","344","1373.527","","2.3498866558075","7.69199991226196","","78","","124","149","","","0.643452880693925","96.49","2","135","4","0","0","","","","","","128","7","3","1","2","","","","","","",""
"Lap Swimming","Swim","","","","2023-02-12","","2100","","","","","0.670278058052063","0.865265760197775","","20","","128","170","","","0.88527666186644","46.5","33","2","1","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-13","","2500","","","","","0.935159169832865","0.741179958493922","","21","","121","139","","","0.755386458589389","40.31","49","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-13","","30510.720703125","165","273","598.846","","1.00464916229248","8.4350004196167","","77","","85","133","","","0.654288007707515","42.69","2","57","0","0","0","","","","","","58","2","0","0","0","","","","","","",""
"","Run","","0.5","","2023-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-15","","2600","","","","","0.929974724451701","0.77243018419489","","21","","132","158","","","0.78998150932681","45.85","45","5","1","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Threshold","Bike","","1.33333333333333","","2023-02-15","","45147.671875","164","296","894.398","","1.50865197181702","8.3120002746582","","75","","116","135","","","0.650943296018098","63.24","3","87","0","0","0","","","","","","87","2","1","0","0","","","","","","",""
"","Run","","0.5","","2023-02-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-16","","57751.4296875","163","302","1189.829","","2.01787447929382","7.94899988174438","","78","","119","142","","","0.648571318354114","83.73","1","120","0","0","0","","","","","","116","3","1","1","1","","","","","","",""
"","Run","","0.5","","2023-02-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-02-18","","5014.009765625","263","392","513.755","","0.543092489242554","2.56500005722046","","172","","146","157","","","0.659341629984646","23.28","14","15","3","0","0","","","","","","20","0","0","0","0","","","","","","",""
"Bike Aerobic Speed","Bike","","2.75","","2023-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2.33333333333333","","2023-02-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2023-02-19","","1000","","","","","0.335612779193454","0.824402308326463","","23","","120","150","","","0.841930483356539","20.03","15","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","0.5","","2023-02-20","","6941.3701171875","213","261","567.899","","0.740154683589935","2.60500001907349","","177","","152","170","","","0.535936731679472","20.99","7","17","20","0","0","","","","","","0","0","0","0","0","","","","","","",""
"Aerobic Threshold","Bike","","1.33333333333333","","2023-02-21","","41044.1015625","175","309","842.863","","1.33694446086884","8.52700042724609","","81","","119","152","","","0.721730201543267","69.21","0","78","2","0","0","","","","","","54","2","7","13","4","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-22","","3400","","","","","1.09224555916256","0.860541635029107","","21","","119","139","","","0.879575963412759","74.33","60","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-02-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1.5","","2023-02-23","","40041.69921875","165","304","797.298","","1.33833336830139","8.3100004196167","","80","","124","136","","","0.650572551472324","56.34","5","76","0","0","0","","","","","","77","2","1","0","0","","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","0.5","","2023-02-23","","5005.77978515625","0","0","","","0.504166662693024","2.75799989700317","","0","","138","147","","","0.712761634250068","28.07","30","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-24","","3600","","","","","1.16399083879259","0.857959961868446","","21","","125","157","","","0.873911917485782","77.69","56","5","2","0","0","","","","","","","","","","","","","","","","",""
"Bike Aerobic Speed","Bike","","2.75","","2023-02-25","","81054.8125","166","333","1826.232","","3.0421040058136","7.40100002288818","","73","","132","156","","","0.70559348988607","139.72","9","148","26","0","0","","","","","","135","34","12","2","2","","","","","","",""
"Aerobic Bike","Bike","","2.33333333333333","","2023-02-26","","70742.078125","169","332","1547.463","","2.53469944000244","7.7519998550415","","74","","126","140","","","0.706731961100587","119.27","9","141","0","0","0","","","","","","106","42","2","1","2","","","","","","",""
"Running","Run","","0.5","","2023-02-26","","5024.240234375","280","360","511.933","","0.50650030374527","2.75500011444092","","175","","149","161","","","0.706718123135159","24.93","9","11","11","0","0","","","","","","29","0","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-02-27","","2000","","","","","0.678607779608832","0.813669650122051","","20","","117","139","","","0.832771559353042","39.19","32","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-02-27","","31170.2890625","175","271","633.883","","1.00348329544067","8.62800025939941","","77","","126","139","","","0.691358604369982","47.49","1","59","0","0","0","","","","","","53","7","0","0","0","","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","0.5","","2023-02-27","","3322.78002929688","0","0","","","0.335833340883255","2.74799990653992","","0","","133","142","","","0.704093567740169","18.22","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Speed","Bike","","1.33333333333333","","2023-02-28","","42544.2890625","168","306","951.792","","1.56878256797791","7.53299999237061","","69","","125","158","","","0.776173340359553","81.9","10","63","18","0","0","","","","","","60","4","4","12","15","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-03-01","","2000","","","","","0.629173614184062","0.87719298245614","","21","","114","138","","","0.898202413568838","45.59","25","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-03-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","0.666666666666667","","2023-03-02","","6909.3798828125","270","331","715.206","","0.734061419963837","2.61500000953674","","170","","144","155","","","0.686985912372619","34.29","26","17","1","0","0","","","","","","39","0","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-03-03","","2975","","","","","0.924567503399319","0.888590203106332","","22","","129","153","","","0.909207623451038","69.49","50","2","0","0","0","","","","","","","","","","","","","","","","",""
"Bike Aerobic Speed","Bike","","3","","2023-03-04","","40153.69921875","171","361","978.418","","1.58607506752014","7.03200006484985","","60","","139","192","","","0.908873815982017","105.82","13","43","17","18","6","","","","","","57","7","4","2","27","","","","","","",""
"Lactate Test","Bike","","1.96666666666667","","2023-03-04","","14004.26953125","134","221","263.134","","0.54537969827652","7.13199996948242","","74","","139","152","","","0.56387769396475","16.02","0","28","5","0","0","","","","","","33","1","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-03-05","","72814.7109375","169","322","1595.214","","2.61348176002502","7.73899984359741","","77","","132","148","","","0.689698952119884","118.82","5","151","1","0","0","","","","","","137","15","2","1","2","","","","","","",""
"Running","Run","","0.5","","2023-03-05","","5101.8798828125","271","438","538.065","","0.550306677818298","2.57500004768372","","165","","150","164","","","0.709622881042237","27.32","6","13","14","0","0","","","","","","27","2","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-03-06","","2575","","","","","0.82960305902693","0.857190412782956","","21","","122","159","","","0.877044464585738","55.97","37","3","2","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-03-06","","31302.900390625","177","292","640.262","","1.00388884544373","8.66100025177002","","79","","129","140","","","0.69780710499133","48.51","1","59","0","0","0","","","","","","52","7","0","0","0","","","","","","",""
"Zwift - 5K Loop in Watopia","Run","","0.5","","2023-03-06","","3343","0","0","","","0.337500005960464","2.75099992752075","","0","","134","145","","","0.723644620428436","19.26","20","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Speed","Bike","","1.33333333333333","","2023-03-07","","42075.1015625","175","301","922.113","","1.45653581619263","8.02400016784668","","76","","129","153","","","0.773556627408688","79.38","8","61","18","0","0","","","","","","52","5","7","19","5","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-03-08","","2600","","","","","0.793573614226447","0.904347826086957","","22","","115","143","","","0.925765200969121","62.96","34","0","0","0","0","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2023-03-08","","0","","","","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
